bikeGeometryKey,sizeLabel,wheelSize,reach,stack,topTubeEffective,headTubeAngle,seatTubeAngleEffective,headTubeLength,seatTubeLength,chainstay,wheelbase,bbDrop,forkOffset,trail,standover
SuperX,46,700c,365.0,515.0,510.0,70.0,74.3,86.0,449.0,422.0,998.0,77.0,55.0,72.0,746.0
SuperX,51,700c,371.0,535.0,521.0,71.0,74.3,108.0,488.0,422.0,1005.0,72.0,55.0,65.0,782.0
SuperX,54,700c,378.0,555.0,540.0,71.0,73.7,132.0,524.0,422.0,1020.0,69.0,55.0,65.0,812.0
SuperX,56,700c,385.0,575.0,558.0,71.0,73.3,153.0,546.0,422.0,1034.0,69.0,55.0,65.0,832.0
SuperX,58,700c,392.0,595.0,575.0,71.0,72.9,177.0,566.0,422.0,1049.0,67.0,55.0,65.0,836.0
SuperX,61,700c,398.0,615.0,594.0,71.0,72.3,198.0,589.0,422.0,1062.0,67.0,55.0,65.0,849.0
SuperSix EVO,44,700c,373.0,495.0,510.0,70.9,74.5,89.0,400.0,410.0,980.0,74.0,55.0,60.0,694.0
SuperSix EVO,48,700c,376.0,508.0,522.0,71.2,74.0,101.0,429.0,410.0,985.0,74.0,55.0,58.0,717.0
SuperSix EVO,50,700c,379.0,520.0,529.0,71.2,74.0,114.0,448.0,410.0,993.0,74.0,55.0,58.0,733.0
SuperSix EVO,52,700c,383.0,532.0,536.0,71.2,74.0,130.0,467.0,410.0,1002.0,72.0,55.0,58.0,752.0
SuperSix EVO,54,700c,387.0,545.0,544.0,71.2,74.0,143.0,490.0,410.0,1010.0,72.0,55.0,58.0,770.0
SuperSix EVO,56,700c,393.0,565.0,560.0,73.0,73.5,154.0,510.0,410.0,995.0,72.0,45.0,58.0,790.0
SuperSix EVO,58,700c,398.0,585.0,577.0,73.0,73.0,178.0,532.0,410.0,1007.0,69.0,45.0,58.0,812.0
SuperSix EVO,61,700c,406.0,615.0,600.0,73.0,72.5,209.0,570.0,410.0,1024.0,69.0,45.0,58.0,846.0
SuperSlice,XS,700c,388.0,461.0,478.0,71.5,,50.0,440.0,415.0,979.0,73.0,50.0,62.0,388.0
SuperSlice,SM,700c,402.0,487.0,497.0,71.5,,77.0,490.0,415.0,1002.0,73.0,50.0,62.0,402.0
SuperSlice,MD,700c,417.0,514.0,517.0,71.5,,106.0,551.0,415.0,1026.0,73.0,50.0,62.0,417.0
SuperSlice,LG,700c,431.0,540.0,536.0,71.5,,133.0,585.0,415.0,1049.0,73.0,50.0,62.0,431.0
Synapse Neo Allroad,XS,700c,378.0,560.0,549.0,70.2,73.0,113.0,407.0,450.0,1049.0,75.0,50.0,74.0,715.0
Synapse Neo Allroad,SM,700c,386.0,578.0,563.0,71.1,73.0,129.0,453.0,450.0,1055.0,75.0,50.0,68.0,751.0
Synapse Neo Allroad,MD,700c,394.0,605.0,579.0,72.0,73.0,159.0,499.0,450.0,1065.0,70.0,50.0,62.0,795.0
Synapse Neo Allroad,LG,700c,401.0,633.0,595.0,72.0,73.0,193.0,544.0,450.0,1083.0,65.0,50.0,62.0,838.0
Synapse Neo Allroad,XL,700c,409.0,660.0,611.0,72.0,73.0,222.0,590.0,450.0,1100.0,65.0,50.0,62.0,876.0
Topstone Alloy,XS,700c,368.0,518.0,533.0,70.0,73.1,86.0,410.0,435.0,1016.0,75.0,55.0,72.0,703.0
Topstone Alloy,SM,700c,377.0,549.0,544.0,71.0,73.1,115.0,458.0,435.0,1027.0,75.0,55.0,65.0,744.0
Topstone Alloy,MD,700c,385.0,579.0,557.0,71.0,73.1,147.0,505.0,435.0,1045.0,75.0,55.0,65.0,784.0
Topstone Alloy,LG,700c,394.0,610.0,572.0,71.0,73.1,180.0,553.0,435.0,1065.0,75.0,55.0,65.0,824.0
Topstone Alloy,XL,700c,402.0,640.0,587.0,71.0,73.1,212.0,600.0,435.0,1083.0,75.0,55.0,65.0,864.0
Synapse,44.0,700c,365.0,510.0,521.0,70.2,73.0,96.0,400.0,415.0,985.0,80.0,55.0,65.0,681.0
Synapse,48.0,700c,371.0,530.0,533.0,70.8,73.0,115.0,422.0,415.0,993.0,80.0,55.0,61.0,702.0
Synapse,51.0,700c,376.0,550.0,544.0,71.0,73.0,140.0,443.0,415.0,1006.0,75.0,55.0,60.0,723.0
